Contact Person,Designation,Organization,LinkedIn Profile
 Vridhi Govind,Founder,ECO ORGANIC CLOTHING PVT LTD,https://in.linkedin.com/in/manisha-mangla-83294b167
 Ashutosh Bhardwaj,Director,Ecocare Technologies Private Limited,https://in.linkedin.com/in/ashutoshbhar
 Srinivas Ravindra,Founder,Ecochoice Naturals,https://in.linkedin.com/in/srinivas-ravindra-88323314
 Sujeet Tiwari,Sujeet Tiwari,EcoDanvantri Global Private Limited,https://in.linkedin.com/in/sujeet-tiwari-04641a63
 S Nandan Bhat,Founder,EcoKaari Private Limited,https://in.linkedin.com/in/nandan-bhat-ecokaari
 Shubham Singh,Co-Founder,Ecologia Designs Pvt. Ltd.,https://in.linkedin.com/in/shubham-singh-b74154202
 Sonal Shukla,"Co-founder, Director",ECONSCIOUSÂ® (ECODECO THE RECYCLE HOME PVT LTD),Not found
 Sonal Shukla,"Co-founder, Director",ECONSCIOUS® (ECODECO THE RECYCLE HOME PVT LTD),Not found
 Dinta Vaghasiya,Founder and Director,Ecoterra Biodesign Private Limited,https://in.linkedin.com/in/dinta-vaghasiya-936911136
 Akash Singh,CEO,Ecovative Innovations Pvt Ltd,https://in.linkedin.com/in/akashsinghceo
 Sumita Sinha,Founder & CEO,Ecoviha Industries Private Limited,https://in.linkedin.com/in/sumita-sinha
 Kartik Gupta,Co-Founder,Edelbox Solutions Pvt Ltd,https://in.linkedin.com/in/29kartik
 Kamal Kumawat,Co Founder and Director,EDGISTIFY,https://in.linkedin.com/in/antimsuman
 Tejas Srivastava,Co-Founder,Ednam Solutions,https://in.linkedin.com/in/tejas-srivastava
 Vikram Raj Singh,Founder,Edublock Pro Private Limited,https://in.linkedin.com/in/vikramrsingh
 Akshay Agarwal,Director,Edumarc Technologies Private Limited,https://in.linkedin.com/in/akshay-agarwal-779b6980
 Mumal Soni,CEO,Edunova Innovation Lab Private Limited,https://in.linkedin.com/in/mumal-k-soni-0511
 Harsh Rawat,CTO,Eduthum Ventures Pvt Ltd,https://in.linkedin.com/in/harsh-rawat-b5b9b25
 Saurabh Arora,Founder,Eewa Farms,https://in.linkedin.com/in/saurabh-hydroponics
 Kumar Ranjan,Founder,eFeed,https://uk.linkedin.com/in/kumarranjan1991
 Trimbak Mahajan,CEO,Efficieno AI Private Limtied,https://in.linkedin.com/in/trimbak-mahajan
 Prashant Kumar,Founder & CEO,Eigenlytics Data Solutions Private Limited,https://in.linkedin.com/in/prashantx
 Praachi Abrol,Co-Founder & COO,Einstellen AI,https://in.linkedin.com/in/praachi-abrol-5942225b
 Anjali Bajpai,Anjali Maurya,Ekak Innovations,https://in.linkedin.com/in/anjali-maurya-b7ba87274
 Aishwarya Jhawar,Founder,EKATRA COLLECTIVE PRIVATE LIMITED,https://in.linkedin.com/in/aishwarya-jhawar-503baa184
 Leena Singbal,Leena Singbal,ELANTOR SOLUTIONS,https://in.linkedin.com/in/leena-singhal-1abb42307
 Nishant Jain,Founder & CEO,Elderfly Healthtech Private Limited,https://in.linkedin.com/in/nishant--jain
 Saurabh Sharma,Saurabh Sharma,ELECTROGLOBAL SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/saurabh-sharma-198816251
 Vandana Kapoor,Managing Director,ELEKRON TECHSOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/vandana-kapoor-b55a5b2b
 Amol Sonawane,Co Founder,Elemnt Sports Science Private Limited,https://in.linkedin.com/in/amol-sonavane-4667257
 Prathamesh Choudhary,Founder & CEO,ELESPA HEV PVT LTD,https://in.linkedin.com/in/prathamesh-choudhary-39855b17b
 ABHISEK DEB,CO-FOUNDER,ELITECK HYDROGEN RESOURCES PRIVATE LIMITED,https://in.linkedin.com/in/abhishek-deb-91b38569
 JAYASHANKAR DAS,FOUNDER AND CEO,ELMENTOZ RESEARCH PRIVATE LIMITED,https://uk.linkedin.com/in/dr-jayashankar-das-
 Shyamantak Das,"Co-Founder, Chief Business Officer",eMbrace,https://in.linkedin.com/in/shyamantakdas
 BONGHO LEE,CEO,"emCT Co., Ltd.",https://kr.linkedin.com/in/bongholee
 Mridul Kumar Agarwal,Director,Emerging Climate Innovations private limited,https://in.linkedin.com/in/mridul-kumar-agarwal-08974028
 Akshay Kumar,Akshay Kumar,EMIANT INNOVATIONS PRIVATE LIMITED,https://in.linkedin.com/in/akshay-kumar-678515106
 Basudha Shrivastav Narula,CEO,EmpFly Services Pvt Ltd,https://in.linkedin.com/in/basudha-shrivastav-3423551a
 SIRISHA KASINADHUNI,CEO,Empiezo IT Solutions Pvt Ltd,https://in.linkedin.com/in/dr-sirisha-kasinadhuni-20615b232
 Shivesh Gaur,CEO,Empyrean Robotic Technologies,https://in.linkedin.com/in/shiveshgaur
 Neeraj Singh,Marketing Manager,EndureAir Systems,https://in.linkedin.com/in/neeraj-singh-310937147
 Milan Movaliya,CEO & MD,Energo Biocoal Energy Private Limited,https://in.linkedin.com/in/milan-movaliya-60099b148
 Akshay Jain,CEO,EnergyBae Private Limited,https://in.linkedin.com/in/akshay21294
 Shubham Bhoir,"Founder, CEO",Engineer's Cradle,https://in.linkedin.com/in/shubhambhoir
 Mitkaran Singh,Co-Founder,Enhaz Beverages Pvt Ltd,https://in.linkedin.com/in/mitkaran-singh-ghai-297b3520a
 Jharna Saha,Jharna Saha,Enlog,https://in.linkedin.com/in/jharna-saha
 Amal Xavier,Managing Director,Enrich Innovations Pvt Ltd,https://in.linkedin.com/in/amalxavier
 Avinash Kumar Singh,Co founder,ENS Enterprises Private Limited,https://in.linkedin.com/in/avinashkumarsingh
 SANDEEP KUMAR SHEORAN,SANDEEP KUMAR SHEORAN,ENTION TECHNOLOGY AND SERVICES PRIVATE LIMITED,https://in.linkedin.com/in/sandeep-kumar-sheoran-4a2882191
 Yajur Lath,Founder,EntrePi,https://in.linkedin.com/in/yajur-lath-4ba192158
 Arjun Mittal,FOUNDER & CEO,ENVINOVA SMARTECH PRIVATE LIMITED,https://in.linkedin.com/in/arjun-mittal09
 HARSH PATEL,FOUNDER,ENVIPURE,https://in.linkedin.com/in/harsh-patel-698b6551
 Devipriya Priyadarshini,Devipriya Priyadarshini,ENVISEER (PREDICTSEER TECHNOLOGIES PRIVATE LIMITED),https://in.linkedin.com/in/devipriyapu
 SANDEEP MATTA,C.E.O,ENWE CLEAN TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/sandeep-matta-56306915
 Pramod Kumar,Pramod Kumar,Enwinove Solutions Pvt. Ltd,https://in.linkedin.com/in/pramodkumar017
 Sebastien CELESTINE,President,EOG - Entrepreneurs Of Greatness,https://www.linkedin.com/in/sebastiencelestine
 Sanjay Kumar,Sanjay Kumar,Eon Space Labs Pvt Ltd,https://in.linkedin.com/in/sanjay-kumar-esl
 Gaurav Bhushan,Founder,EQUIP9 Internet Private Limited,https://in.linkedin.com/in/gaurav-bhushan-97985225
 Atul Sharma,Marketing Head,Eroute Technologies Private Limited,https://in.linkedin.com/in/the-atulsharma
 Harris Babbar,Harris Babbar,Escape Planner Private Limited,Not found
 Prasad Nediyakalayil,CFO,Espouse Capital Private Limited,https://in.linkedin.com/in/nitin-agarwal-10369b30
 Gouri Satpathy,Executive Director,Eureka Analytical Services Pvt. Ltd.,https://in.linkedin.com/in/dr-gouri-satpathy-91698030
 Dewansh Poddar,Dewansh Poddar,EV Recharge,https://in.linkedin.com/in/dewanshpoddar
 Narendra Jha,Founder & CEO,EVA2Z Electric,https://in.linkedin.com/in/narendrj
 Sube Singh,Director,Evaride electric Private limited,https://in.linkedin.com/in/sube-singh-427494344
 Anish Shrestha,Founder and CEO,Events Mo Private Limited,https://np.linkedin.com/in/anixification
 Himanshu Tyagi,Founder & COO,Everge Agroscience Private Limited,https://in.linkedin.com/in/himtyg
 Ashish Sonkusare,CEO and Founder,eVerse.AI,https://in.linkedin.com/in/ashish-sonkusare
 Imran Ali,Founder,Evolver Agro,https://in.linkedin.com/in/imran-ali-582591163
 Harsh Chordia,Director,Evoxia Labs India Private Limited,https://in.linkedin.com/in/harshchordia20
 Munish Kumar,Founder & CEO,Exobot Dynamics Pvt Ltd,https://in.linkedin.com/in/kumar-munish
 PRIYANKA CHELANI,PRIYANKA CHELANI,EXPERTBELLS,https://in.linkedin.com/in/priyanka-chelani-b9922b189
 Akshay Gugnani,Founder,Expertia AI,https://in.linkedin.com/in/akshaygugnani
 Kanishk Shukla,Kanishk Shukla,Expertia AI Technologies Private Limited,https://in.linkedin.com/in/shuklakanishk
 Ankit Vadlamani,Chief of Staff,Exposome Private Limited,https://in.linkedin.com/in/ankit-vadlamani-542a2a150
 Naveen Kumar,Naveen Kumar,Eythor private limited,https://in.linkedin.com/in/naveen-kumar-eythor
 Partha Pratim Das Mahapatra,CEO & Founder,EzeRx Health Tech Pvt Ltd,https://in.linkedin.com/in/partha-pratim-das-mahapatra-07295a3a
 Nirmal Yadav,founder & CEO,Ezinore Private Limited,https://in.linkedin.com/in/nirmal-yadav-2b010122a
 VIKAS SHRIVASTAVA,VIKAS SHRIVASTAVA,FABRIC VENUE LIFESTYLE PRIVATE LIMITED,https://in.linkedin.com/in/vikas-srivastava-233021b3
 Inderjit Makkar,Founder CEO,Factacy AI,https://in.linkedin.com/in/inderjit-makkar
 Navin Kumar,Co-Founder,Factorial AI Private Limited,https://in.linkedin.com/in/navin-kumar-parthiban-97927332
 RAMESHWAR SARSWAT,FOUNDER,Fairlorry Tech Solutions Pvt. Ltd.,https://in.linkedin.com/in/rameshwar-sarswat-82a35931
 HIREN VADGAMA,MANAGING PARTNER,FALESHWAR UDYOG LLP,https://in.linkedin.com/in/hiren-vadgama-b3a09b228
 Abishek Bhagat,Co Founder,FARMER NEAR ME,https://in.linkedin.com/in/abhixs
 Ankit Khanduri,Director,Farmorigin Agroscience Private Limited,https://in.linkedin.com/in/ankit-khanduri-08627268
 Dinesha B S,DIRECTOR,FARMROOT AGRITECH PRIVATE LIMITED,https://in.linkedin.com/in/dinesh-b-s-bommenahalli-0b1a7190
 Vaibhav Sharma,Founder,Fasal Mitra - Destimal Business Ventures LLP,https://in.linkedin.com/in/vaibhavsh7
 Poornima Sathya Narayayanan,Founder and CEO,Fcom India,https://in.linkedin.com/in/poornima-sathya-narayanan-770b6526
 Krushna Pandhare,CEo,"FDVZ HEALTHY LIFE PVT LTD , OFFICE 08, PCCOE , PUNE",https://in.linkedin.com/in/krushna-pandhare-0a0135202
 GIRDHAR BAJAJ,DIRECTOR,Febris Solutions Private Limited,https://in.linkedin.com/in/girdhar-bajaj-417a56b2
 Khushi Singh,Co-founder,Felicitaworld pvt.ltd,https://in.linkedin.com/in/khushi-singh-0a033b2a7
 Ankur Kulshreshtha,Ankur kulshrestha,FELIZ VIAJE HOLIDAYS PRIVATE LIMITED,https://in.linkedin.com/in/ankur-kulshreshtha-2392094
 Jyoti Sharma,CEO,Femease,https://in.linkedin.com/in/jyoti-sharma-58b10214b
 Ajay Kumar,Founder & CEO,Fery Rides,https://in.linkedin.com/in/ajay-kumar-founder-entrepreneur
 Fiza Khan,CEO,Feuberro Waste Management Private Limited | Urban Scrapman,Timeout error
 Sreejith BS,Sreejith Bs,Field-X ROBOTICS,https://in.linkedin.com/in/sreejith-bs-a592bb22
 Nipun Kohli,Co-Founder,FinAGG Technologies Private Limited,https://in.linkedin.com/in/nipunkohli
 Sanjog Bawane,Managing Director,Finasyst Tech Private Limited,Not found
 Shivam A,Senior Consultant,FINLABH RISK ADVISORY LLP,https://in.linkedin.com/in/sharmaji8799
 Sachin Aggarwal,Co-founder,Finlock Technologies,https://in.linkedin.com/in/sachinaggarwal84
 Vishaal Agrawal,Director,Finodha.in,https://in.linkedin.com/in/vishal-agrawal-1709
 Rishi Raj,Strategy Associate,FINTAXICORN SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/rishi-raj-356ba212a
 Dhruwang Pandya,Dhruwang Pandya,Fintel Defence,https://in.linkedin.com/in/dhruwang
 Manoj Kumar,Cofounder & CEO,Finzace wealth solutions Pvt Ltd,https://in.linkedin.com/in/manojkumar-mk
 Pranav Sharma,pranav sharma,Fitamore Lifesciences Pvt Ltd,https://in.linkedin.com/in/pranav-sharma-5a2a541aa
 Rishi Nagar,Founder & Managing Director,Fitnastic Health Private Limited,https://in.linkedin.com/in/rishi-nagar
 Megha Garg,Marketing and Sales Lead,Fitsol,https://in.linkedin.com/in/megha-garg-4386171b0
 Vipen Jain,Founder,Fitspire - Aspire to Fitness,https://in.linkedin.com/in/vipen-jain
 RADHA NAYAK,FOUNDER & DIRECTOR,FIVE LINE HEALTHCARE PVT LTD,https://in.linkedin.com/in/radha-nayak-20800648
 Yash Chaudhary,Founder & CEO,Flabs,https://in.linkedin.com/in/yash-chaudhary-285726223
 Deepak Parkash,Head Finance,FLAT WHITE CAPITAL PRIVATE LIMITED,https://in.linkedin.com/in/deepak-parkash-5b665420
 Uttiyo Mukherjee,Co-founder & COO,Flixdrop Technology,https://in.linkedin.com/in/uttiya-mukherjee
 Dhruvesh Patel,Founder and Director,Flood Lab (Digital Flood Library and Safety Tool),https://in.linkedin.com/in/dhruvesh-patel-224b75a9
 Rakesh Verma,CEO & Founder,Flourishing Growup India Private Limited,https://in.linkedin.com/in/dr-col-rakesh-verma
 Aryan Kumar,Founders Office,Floww APIs Pvt Ltd,https://in.linkedin.com/in/aryan-kumar-16284162
 Atharva Naik,Co-founder & CEO,FlyLab Solutions Pvt Ltd,https://www.linkedin.com/in/atharva-naik-732326257
 Zaheer Ali,Founder,Fmx proptech pvt ltd,https://in.linkedin.com/in/zaheer-ali-a49115303
 Gaurav Chaudhari,CEO,Fodfarm Livestock Pvt Ltd,https://in.linkedin.com/in/gaurav-chaudhari-961a49169
 Poonam Gugale,CEO,FollowG Global Pvt Ltd,https://in.linkedin.com/in/poonam-gugale-282b3b42
 Ekta Kapur,Ekta Kapur,Foodtree Innovations Pvt Ltd,https://in.linkedin.com/in/ekta-kapur-15517918
 RUSHIT SONI,DIRECTOR,FORENSIC CYBERTECH MACHINES PVT LTD,https://in.linkedin.com/in/rushit-soni-digitalforensicexpert
 Madhur Sharma,Madhur Sharma,Forklabs technologies pvt ltd,https://in.linkedin.com/in/madhur-sharma-464a4ba7
 Chandrasekhar Kuppuswami,Chandrasekhar Kuppuswami,Forus Health Pvt Ltd,Not found
 Phanindra Gopala Krishna,Founder and Managing Director,Frenvi Private Limited,https://de.linkedin.com/in/phanindra-g
 Aman Kumar,Aman Kumar,Freshily19 agri -tech private limited,https://in.linkedin.com/in/aman-kumar-a16bb1264
 Chandra Kanta,COO,Freshokartz Agri Products Pvt. Ltd.,https://in.linkedin.com/in/chandrakanta-sahu-6795095a
 Ankit Agarwal,CEO/co-founder,Fridayy AI,https://www.linkedin.com/in/ankitagarwal
 Rohan Verma,Founder and CEO,Frint,https://in.linkedin.com/in/rohan-verma-4b65071bb
 Raju Kumar Sinha,Co-Founder and Chief Business Officer,Fship ( Fixfeels Technologies pvt ltd),https://in.linkedin.com/in/raju-sinha-b92117300
 Shreyas Jain,Shreyas Jain,FTFS Studio Private Limited,https://in.linkedin.com/in/shreyasjain-galvanic
 Hasan Al -Mehdi,FOUNDER & CEO,FULONI AGRITECH PRIVATE LIMITED,Not found
 NIRAJ KUMAR CHATRI,"FOUNDER, CEO","FundDo, Areeva Products & Services Private Limited",https://in.linkedin.com/in/nirajchatri
 Milind Vadnere,Milind Vadnere,Funvention Learning Pvt. Ltd.,https://in.linkedin.com/in/milind-vadnere-612066168
 Paras Jain,Director,Furrmate Wellness Private Limited,https://in.linkedin.com/in/paras--jain
 Devika Chandrasekharan,Director,Fuselage Innovations Private Limited,https://in.linkedin.com/in/devika-chandrasekharan
 Ajay Bhardwaj,Founder,FuturaNexus Pvt. Ltd.,https://in.linkedin.com/in/iamajaybhardwaj
 Sahil Chopra,Founder,Gabify,https://in.linkedin.com/in/sahil-chopra-gabify-life
 Prateek Sharma,Founder,Gadget Guruz,https://in.linkedin.com/in/prateek-sharma-227a4518
 Pankaj Kumar Singh,Director,Gahmar Admark Solutions Private limited,https://in.linkedin.com/in/pankaj-kumar-singh-8571b625b
 Chandan Kumar Jha,Chandan Kumar Jha,Galanto Innovations Private Limited,https://in.linkedin.com/in/chanjha
 Venkata Charan Kotte,Marketing Manager,GalaxEye,https://in.linkedin.com/in/charan-kotte-0b8757149
 KAMAL KISHOR MALHOTRA,CHIEF EXECUTIVE OFFICER,GALGOTIAS INCUBATION CENTRE FOR RESEARCH INNOVATION STARTUP & ENTREPRENEURS,https://in.linkedin.com/in/kamal-kishor-malhotra-bb76a221a
 Shubham Jain,founder,Gama AI,https://in.linkedin.com/in/shubham-jain-b58b59221
 Roushan Kumar,Founder & CEO,GAMEHOK TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/roushan-kumar-9b06b597
 Rahul Sehgal,RAHUL SEHGAL,Gamer2maker Private Limited,https://in.linkedin.com/in/rahulsehgal1
 Teja Sai Kishore Kondapi,Founder/CEO,Gametsugi Entertainment Private Limited,https://in.linkedin.com/in/teja-sai-kishore-5a767434a
 Domendra Ganjir,Dr. Domendra Singh Ganjir,Ganjir Healthcare private limited,https://in.linkedin.com/in/dr-domendra-singh-ganjir-i-dsg-9760a929
 Garv Garg,Founder & CEO,Garg Defence and Aerospace,https://in.linkedin.com/in/garv-garg-2461ba1aa
 Jayanta Poddar,CTO,Garudalytics Private Limited,https://in.linkedin.com/in/poddarjayanta
 Ajay Kumar Dashore,Director,Garveish Herbaceuticals Private Limited,https://in.linkedin.com/in/ajaydashore21111980
 Vishal Dafada,CEO,Gatim AI Tech Innovation Pvt ltd,https://in.linkedin.com/in/vishal-dafada-805a2b1b9
 Gajendra Jain,Gajendra Jain,Gatix Drive Pvt. Ltd.,https://in.linkedin.com/in/gajendra-jain-959133177
 Birender Chaudhary,Manager,Gaudrika Digital Labour Chowk Private Limited,https://in.linkedin.com/in/birender-chaudhary
 Pallavi Sinha,director,Gaura Decors Private Limited,https://in.linkedin.com/in/gaura-decors-pvt-ltd
 Gaurav Rauthan,Director,Gaurav Rauthan,https://in.linkedin.com/in/gaurav-rauthan-2707bb1b5
 Gayatri Varun,Founder & Director,Gayatri Varun,https://in.linkedin.com/in/gayatri-varun-850aa194
 Geeta Kumari,Entrepreneur,Geeta Kumari,https://in.linkedin.com/in/geeta-kumari-6a776b275
 Ashish Borda,Founder,GEMLIGHT LLP,https://in.linkedin.com/in/ashishb80
 DEEKSHA BHARTIYA,FOUNDER AND DIRECTOR,Genomiki Solutions Private Limited,https://in.linkedin.com/in/genomiki
 Sushma A,Founder and CEO,Genstrat.ai,https://in.linkedin.com/in/sushmaanthuraj
 Anuj Mishra,Anuj Mishra,Genstrive Private Limited,https://in.linkedin.com/in/anujmishra1
 Akshay Shah,Founder CEO,GenZDealZ.ai,https://in.linkedin.com/in/akshay-shah-8803822a1
 Sparsh Mittal,Founder/ Partner,Georgia Foods Company,https://in.linkedin.com/in/divya-mittal-a65b167
 Amit Vasistha,"Co-founder, CEO",Get A Life Private Limited,https://in.linkedin.com/in/amitvasistha
 Gaurav Sharma,CEO,Getgabs LLP,https://in.linkedin.com/in/gaurav-sharma-65889a2b
 Rahul Veerwal,Founder & CEO,GetWork,https://in.linkedin.com/in/rahulveerwal
 Sandeep Sharma,sandeep sharma,GFO RESEARCH & DEVELOPMENT PRIVATE LIMITED,Not found
 Shubham G Dungarwal,Founder Director,GFRESH AGROTECH PVT LTD,https://in.linkedin.com/in/shubham-g-dungarwal-46673b1aa
 Ghanshyam Singh,Founder,Ghanshyam Singh,https://in.linkedin.com/in/ghanshyam-singh-a30a7379
 Apurva Shah,Co-founder,Ghar Mandir Private Limited,https://in.linkedin.com/in/apurva-shah-503376a9
 Rahul Chandra,Founder,Gharbar,https://in.linkedin.com/in/rahulchandra0
 Manu Francis,CEO & Founder,GHC FINANCIAL ADVISORY SERVICES LLP,https://in.linkedin.com/in/phogerman
 Krishnendu Mukherjee,CEO,GIGAFUN STUDIOS PRIVATE LIMITED,https://in.linkedin.com/in/krishnendu-mukherjee-a630a324
 Shivam Ginglani,Founder & CEO,Ginglani Distillers Private Limited/Woodsmen Whiskey,https://in.linkedin.com/in/shivamginglani
 RAMESHBHAI RUPARELIA,DIRECTOR,GIR GAU JATAN PRIVATE LIMITED,Not found
 Parveen Kumar,CEO,GLAREEN INDIA PRIVATE LIMITED,https://in.linkedin.com/in/reachpkg
 Divya Chauhan,Director,Global Kcloud Infotech Pvt. Ltd.,https://in.linkedin.com/in/divya-chauhan-12b324209
 Sangita Patel,Proprietor,Go Samarthan Organic and Panchgavya Product Research Center,https://in.linkedin.com/in/sangita-patel-b61021b1
 Balaji Polaki,Founder-CEO,GoBaran Private Limited,https://in.linkedin.com/in/balaji-polaki-103467325
 RAMANUJ PANDA,RAMANUJ PANDA,Gocarin Industries Private Limited,https://in.linkedin.com/in/drramanujpanda
 Vinay Kothari,CEO,Godesi Mandi Pvt Ltd,https://in.linkedin.com/in/vinay-kothari
 Suresh Mudaliar,Director,Goodway Indsol Private Limited,https://in.linkedin.com/in/sureshway
 Riya Payal,Director,GOROFY GLOBAL PRIVATE LIMITED,https://in.linkedin.com/in/riya-payal-37187ab7
 Arjun Davar,Director,GPSNK Pvt. Ltd,https://in.linkedin.com/in/arjun-davar-aa12522b4
 Fawzul Kabiir,Co Founder,GR8 Sports India Private Limited,https://in.linkedin.com/in/gr8kabiir
 Abel Dixon,Co-Founder and CEO,Grafito Innovations Private Limited,https://in.linkedin.com/in/abelcdixon
 Aparajith Subramani BSM,Director,Grahaa Space,https://in.linkedin.com/in/aparajith-bsm-b0aa802a9
 Ankit Ohlan,Ankit Ohlan,Grahak Setu,https://in.linkedin.com/in/ankitohlan
 Amanpreet Singh,CEO & Founder,GrainAnalyser,https://www.linkedin.com/in/amanpreet-singh-a77491118
 Sandeep Sapkota,Sandeep Sapkota,Gramin Udham Adarshila,https://www.linkedin.com/in/sandeep-sapkota-274432207
 Dhruv Joshi,Director and CEO,GramSe (HoYi),https://in.linkedin.com/in/dhruv-joshi-638b5a31
 Rakesh Gupta,Director,Gramshree Development Services Private Limited,https://in.linkedin.com/in/rakesh-gupta-3510577a
 Sai Snata Dash,Chief Executive Officer,Grassion Fitness Pvt. Ltd.,https://in.linkedin.com/in/saisnatadash
 Dipanjan Dash,Growth and strategic partnership manager,Graymatics,https://sg.linkedin.com/in/dipanjan-dash
 Padmini Sampath,Co-founder and CEO,Green Collar Agritech Solutions Pvt Ltd,https://in.linkedin.com/in/padmini-sampath-96a7619
 LOKESH GUPTA,MANAGER,GREEN GOLD SALES PRIVATE LIMITED,https://in.linkedin.com/in/lokesh-gupta-7220133b
 Abhinav Sharma,Agronomist,Green Grahi Solution Pvt Ltd,https://in.linkedin.com/in/abhinav-sharma-8b51a6223
 Gayatri Varun,Founder & Director,Green Hermitage - Niktri Endeavours (OPC) Pvt Ltd,https://in.linkedin.com/in/gayatri-varun-850aa194
 Emmanuel Girma,Business Development Manager,Green Scene Energy PLC,https://et.linkedin.com/in/emmanuel-girma-049231118
 KOMAL JAISWAL,KOMAL JAISWAL,Greenaffair,https://in.linkedin.com/in/komal-jaiswal-greenaffair
 Sarika Gupta,Dr Sarika Gupta,Greenathon Technologies Pvt. Ltd.,https://in.linkedin.com/in/dr-sarika-gupta-02895124
 Nikhil Kumar,Founder & Director,Greenevon Bio Private Limited,https://in.linkedin.com/in/nikhil-kumar-31b914341
 Amish Singh Gajkeshar,COO,Greenmentor,https://in.linkedin.com/in/amishgajkeshar
 Vinit Kulkarni,Co founder,Greenovative Energy Pvt Ltd,https://in.linkedin.com/in/vinit-kulkarni-greenovative
 Sakshi Singh,HR & Admin,GreenPista Labs,https://in.linkedin.com/in/sakshi-singh-35325b71
 Chandan Kumar,Chandan Kumar,Greenstark Electronics Private Limited,https://in.linkedin.com/in/er-chandan-kumar-2864787a
 Ayush Verma,Co-Founder Tech & Product,GreenSupply Agro Private Limited,https://in.linkedin.com/in/ayush-verma-8510b1106
 Saket Agrawal,Saket Agrawal,Greenverse,https://in.linkedin.com/in/saketagrawal35
 Abhishek Pathak,Director,Greenwear Fashion Private Limited,https://in.linkedin.com/in/abhishek-pathak-7275294a
 Mansi GOYAL,AVP HR,Grey Chain Technology Pvt Ltd,https://in.linkedin.com/in/mansigl
 Sai Srikanth,CTO,GRMANE MEDIA SOLUTION PRIVATE LIMITED,https://in.linkedin.com/in/sai-srikanth-26june
 Lokesh Joshi,Director,Grokalp H2CNT Private Limited,https://in.linkedin.com/in/lokeshjos
 Ajinkya Pakhale,Founder,Ground Mobil & Energy Solutions Private Limited,https://in.linkedin.com/in/ajinkya-pakhale-robo-mech
 TN Seetharaman,Co-Founder,Groupage Technologies Pvt Limited,Not found
 George Kurian,"CEO, Co-Founder",Growcoms Private Limited,https://in.linkedin.com/in/george-kurian-b1a7652
 Avinash Mishra,CEO,Growdea Technologies,https://in.linkedin.com/in/avinashmishraiit
 Nilotpala Sahariah,Director,Growhub,https://in.linkedin.com/in/nilotpala-sahariah-b31886302
 Ishu Darshan,Ishu Darshan,Growhut Technologies Private Limited,https://in.linkedin.com/in/ishudarshan
 Sanket Jiwane,Director,Growloc Private Limited,https://in.linkedin.com/in/sanket-jiwane-044104108
 Naman Bachwani,Director,Growth Egnitor private limited,https://in.linkedin.com/in/naman-bachwani
 Subramanya Shastry C S,Subramanya Shastry C S,GuddCause MediaWorks Private Limited,https://in.linkedin.com/in/subramanya-shastry-46a22264
 Gulshan Sharma,Director,Gulshan Sharma,https://in.linkedin.com/in/gsmotivator
 Deepansh Singh,Deepansh Singh,GW INFRA SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/gw-infra-solutions-private-limited-80782b2a6
 Ajitabh Kumar,Founder,Gyanie,https://in.linkedin.com/in/ajkmr
 Ganesh Prajapati,Ganesh Prajapati,GYRO MEDISYS PVT LTD,https://in.linkedin.com/in/ganesh-prajapati-9159041b1
 Akash CEO,CEO,Gyrodrive Machineries Private Limited,https://in.linkedin.com/in/akash-gaddamwar-45273791
 Aditya Hegde,Founder,H-Square Engineers Pvt. Ltd.,https://in.linkedin.com/in/aadih88
 Subramanian Subramanian,Subramanian Subramanian,H2next Private,https://in.linkedin.com/in/h2nextsubbu
 Ankush Sarkar,Director,H2Power Energy Pvt Ltd,https://in.linkedin.com/in/ankush-sarkar-4942b4333
 Harpreet Singh,Co-founder & CEO,HaaBtek Labs Pvt Ltd,https://in.linkedin.com/in/harpreets
 Ankit Dhir,Ankit Dhir,HabileLabs Private Limited,https://in.linkedin.com/in/ankitdhir
 Samkit Sharma,CEO & Founder,Hack2skill Private Limited,https://in.linkedin.com/in/samkitsharma
 Anish Hiresha Verma,CEO & Founder,Han Agri Innovations Private Limited,https://in.linkedin.com/in/anishhv
 Ravi Suman,Co-Founder,HappiMynd Professional Services Pvt Ltd,https://in.linkedin.com/in/ravi-kant-suman-4261a816
 Vikas Agarwal,Vikas Agarwal,Happy Parents Lab pvt Ltd,https://in.linkedin.com/in/vikas-agarwal-63432525b
 Mayashree Baruah,Director,HAPPYSUN FOODS PRIVATE LIMITED,https://in.linkedin.com/in/mayashree-baruah-a25ba3252
 GAGANPREET SINGH,Chief Technical Officer,HARANZEL TECHNOLOGIES PVT LTD,https://www.linkedin.com/in/gaganpreet-singh-83619b41
 Sajana Jirel,Executive Director/Co -Founder,HattiHatti Nepal,Not found
 Prashant Mamtora,Founder & CEO,Havi.co,https://in.linkedin.com/in/prashantmamtora
 Mihir Raj,Director,Havmi India Pvt Ltd,https://in.linkedin.com/in/mihir-raj-743412228
 Akhil Bhalerao,Assistant Manager,Haystackanalytics Pvt Ltd,https://in.linkedin.com/in/akhil-bhalerao-67b96b184
